process
"*7z2107-x64.exe*"
"*7zg.exe*"
"*97.0.4692.71_96.0.4664.110_ch*"
"*97.0.4692.99_97.0.4692.71_chr*"
"*992147.exe*"
"*amcacheparser.exe*"
"*appcompatcacheparser.exe*"
"*applicationframehost.exe*"
"*arp.exe*"
"*at.exe*"
"*atbroker.exe*"
"*autoruns64.exe*"
"*backgroundtaskhost.exe*"
"*backgroundtransferhost.exe*"
"*bginfo.exe*"
"*browserdownloadsview.exe*"
"*browsinghistoryview.exe*"
"*btool.exe*"
"*chrmstp.exe*"
"*chrome.exe*"
"*chxsmartscreen.exe*"
"*cleanmgr.exe*"
"*cmd.exe*"
"*compattelrunner.exe*"
"*comppkgsrv.exe*"
"*conhost.exe*"
"*consent.exe*"
"*csrss.exe*"
"*ctfmon.exe*"
"*cttune.exe*"
"*cylr.exe*"
"*dccw.exe*"
"*deploy-application.exe*"
"*dismhost.exe*"
"*dllhost.exe*"
"*dwm.exe*"
"*elex.exe*"
"*elex_setup.exe*"
"*elex_setup.tmp*"
"*evtxecmd.exe*"
"*explorer.exe*"
"*filesyncconfig.exe*"
"*fodhelper.exe*"
"*fontdrvhost.exe*"
"*fsquirt.exe*"
"*gkape.exe*"
"*googleupdate.exe*"
"*googleupdateondemand.exe*"
"*googleupdatesetup.exe*"
"*grpconv.exe*"
"*gup.exe*"
"*hostname.exe*"
"*icacls.exe*"
"*invoice122021.pdf            *"
"*ipconfig.exe*"
"*jlecmd.exe*"
"*jsmin.exe*"
"*kape.exe*"
"*lecmd.exe*"
"*lockapp.exe*"
"*locktest.exe*"
"*logonui.exe*"
"*makecab.exe*"
"*mftecmd.exe*"
"*microsoftedge_x64_97.0.1072.5*"
"*microsoftedge_x64_97.0.1072.6*"
"*microsoftedge_x64_97.0.1072.7*"
"*microsoftedgecp.exe*"
"*microsoftedgeupdate.exe*"
"*microsoftedgeupdatesetup_x86_*"
"*mmc.exe*"
"*mobsync.exe*"
"*mongod.exe*"
"*mpcmdrun.exe*"
"*mscorsvw.exe*"
"*msdt.exe*"
"*msedge.exe*"
"*msiexec.exe*"
"*mstsc.exe*"
"*nbtstat.exe*"
"*net.exe*"
"*net1.exe*"
"*netsh.exe*"
"*netstat.exe*"
"*ngen.exe*"
"*ngentask.exe*"
"*notepad++.exe*"
"*notepad.exe*"
"*onedrive.exe*"
"*onedrivesetup.exe*"
"*op-explorer.exe-7a3328da*"
"*op-msedge.exe-ba103770*"
"*openssl.exe*"
"*openwith.exe*"
"*optionalfeatures.exe*"
"*pecmd.exe*"
"*pickerhost.exe*"
"*powershell.exe*"
"*printfilterpipelinesvc.exe*"
"*procmon64.exe*"
"*python3.exe*"
"*qwinsta.exe*"
"*rbcmd.exe*"
"*recmd.exe*"
"*reg.exe*"
"*regsvr32.exe*"
"*route.exe*"
"*ruby.exe*"
"*rundll32.exe*"
"*runonce.exe*"
"*runtimebroker.exe*"
"*sbecmd.exe*"
"*sc.exe*"
"*scalc.exe*"
"*schtasks.exe*"
"*sdiagnhost.exe*"
"*searchfilterhost.exe*"
"*searchindexer.exe*"
"*searchprotocolhost.exe*"
"*searchui.exe*"
"*sechealthui.exe*"
"*securityhealthservice.exe*"
"*securityhealthsystray.exe*"
"*settingsynchost.exe*"
"*setup.exe*"
"*sgrmbroker.exe*"
"*shellexperiencehost.exe*"
"*sihclient.exe*"
"*simpress.exe*"
"*skypeapp.exe*"
"*skypebackgroundhost.exe*"
"*smartscreen.exe*"
"*smss.exe*"
"*soffice.bin*"
"*soffice.exe*"
"*software_reporter_tool.exe*"
"*speechruntime.exe*"
"*splunk-admon.exe*"
"*splunk-monitornohandle.exe*"
"*splunk-netmon.exe*"
"*splunk-optimize.exe*"
"*splunk-perfmon.exe*"
"*splunk-powershell.exe*"
"*splunk-regmon.exe*"
"*splunk-winevtlog.exe*"
"*splunk-winprintmon.exe*"
"*splunk-wmi.exe*"
"*splunk.exe*"
"*splunkd.exe*"
"*sppsvc.exe*"
"*sqlecmd.exe*"
"*srumecmd.exe*"
"*sumecmd.exe*"
"*svchost.exe*"
"*swriter.exe*"
"*sysmon.exe*"
"*systeminfo.exe*"
"*systempropertiesadvanced.exe*"
"*systemsettings.exe*"
"*systemsettingsadminflows.exe*"
"*taskhostw.exe*"
"*taskmgr.exe*"
"*timelineexplorer.exe*"
"*tiworker.exe*"
"*trustedinstaller.exe*"
"*upfc.exe*"
"*vdsldr.exe*"
"*verclsid.exe*"
"*vm3dservice.exe*"
"*vmtoolsd.exe*"
"*vmwareresolutionset.exe*"
"*vssvc.exe*"
"*waasmedicagent.exe*"
"*wermgr.exe*"
"*windowsinternal.composableshe*"
"*winlogon.exe*"
"*winsat.exe*"
"*wmiadap.exe*"
"*wmiapsrv.exe*"
"*wmic.exe*"
"*wmiprvse.exe*"
"*wscript.exe*"
"*wwahost.exe*"
"*yourphone.exe*"
